Parts;Zone;Annee;Seuil
1;Métropole;2017;5461
1,25;Métropole;2017;6251
1,5;Métropole;2017;7041
1,75;Métropole;2017;7831
2;Métropole;2017;8621
2,25;Métropole;2017;9411
2,5;Métropole;2017;10201
2,75;Métropole;2017;10991
3;Métropole;2017;11781
0,5;Métropole;2017;2793
1;Guadeloupe Martinique Réunion;2017;6557
1,25;Guadeloupe Martinique Réunion;2017;7347
1,5;Guadeloupe Martinique Réunion;2017;8137
1,75;Guadeloupe Martinique Réunion;2017;8927
2;Guadeloupe Martinique Réunion;2017;9717
2,25;Guadeloupe Martinique Réunion;2017;11114
2,5;Guadeloupe Martinique Réunion;2017;12510
2,75;Guadeloupe Martinique Réunion;2017;13907
3;Guadeloupe Martinique Réunion;2017;15303
0,5;Guadeloupe Martinique Réunion;2017;2793
1;Guyane;2017;7281
1,25;Guyane;2017;7888
1,5;Guyane;2017;8494
1,75;Guyane;2017;9101
2;Guyane;2017;9707
2,25;Guyane;2017;11162
2,5;Guyane;2017;12616
2,75;Guyane;2017;14071
3;Guyane;2017;15525
0,5;Guyane;2017;2909
1;Mayotte;2017;8002
1,25;Mayotte;2017;8669
1,5;Mayotte;2017;9335
1,75;Mayotte;2017;10002
2;Mayotte;2017;10668
2,25;Mayotte;2017;12267
2,5;Mayotte;2017;13865
2,75;Mayotte;2017;15464
3;Mayotte;2017;17062
0,5;Mayotte;2017;3197
