Parts;Zone;Annee;Seuil
1;Métropole;2017;13567
1,25;Métropole;2017;14997
1,5;Métropole;2017;16426
1,75;Métropole;2017;17856
2;Métropole;2017;19285
2,25;Métropole;2017;20715
2,5;Métropole;2017;22144
2,75;Métropole;2017;23574
3;Métropole;2017;25003
0,5;Métropole;2017;2859
1;Guadeloupe Martinique Réunion;2017;15698
1,25;Guadeloupe Martinique Réunion;2017;17128
1,5;Guadeloupe Martinique Réunion;2017;18557
1,75;Guadeloupe Martinique Réunion;2017;19987
2;Guadeloupe Martinique Réunion;2017;21416
2,25;Guadeloupe Martinique Réunion;2017;22846
2,5;Guadeloupe Martinique Réunion;2017;24275
2,75;Guadeloupe Martinique Réunion;2017;25705
3;Guadeloupe Martinique Réunion;2017;27134
0,5;Guadeloupe Martinique Réunion;2017;2859
1;Guyane;2017;16895
1,25;Guyane;2017;18325
1,5;Guyane;2017;19754
1,75;Guyane;2017;21184
2;Guyane;2017;22613
2,25;Guyane;2017;24043
2,5;Guyane;2017;25472
2,75;Guyane;2017;26903
3;Guyane;2017;28331
0,5;Guyane;2017;2859
1;Mayotte;2017;16895
1,25;Mayotte;2017;18325
1,5;Mayotte;2017;19754
1,75;Mayotte;2017;21184
2;Mayotte;2017;22613
2,25;Mayotte;2017;24043
2,5;Mayotte;2017;25472
2,75;Mayotte;2017;26903
3;Mayotte;2017;28331
0,5;Mayotte;2017;2859
